time_s,ai_v,ai1_v,selected_signal_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
23.8,-4.828777834923649,,-4.828777834923649,1,,,0.25856110825381756,0,1,False
23.81,-5.262455272431945,,-5.262455272431945,1,,,0.23687723637840277,0,1,False
23.82,-4.613847953434588,,-4.613847953434588,1,,,0.2693076023282706,0,1,False
23.83,-4.048489097419771,,-4.048489097419771,1,,,0.29757554512901147,0,1,False
23.84,-3.8698021153968094,,-3.8698021153968094,1,,,0.3065098942301595,0,1,True
23.85,-4.091603155825009,,-4.091603155825009,1,,,0.29541984220874956,0,1,False
23.86,-3.941200637973471,,-3.941200637973471,1,,,0.3029399681013264,0,1,True
23.87,-3.211816589790737,,-3.211816589790737,1,,,0.33940917051046315,0,1,True
23.88,-2.756756441099344,,-2.756756441099344,1,,,0.3621621779450328,0,1,True
23.89,-3.4135713603554403,,-3.4135713603554403,1,,,0.32932143198222796,0,1,True
23.9,-2.6974392658194213,,-2.6974392658194213,1,,,0.36512803670902894,0,1,True
23.91,-3.066309841355817,,-3.066309841355817,1,,,0.3466845079322091,0,1,True
23.92,-2.3473281224030775,,-2.3473281224030775,1,,,0.38263359387984613,0,1,True
23.93,-1.8844051157015511,,-1.8844051157015511,1,,,0.40577974421492247,0,1,True
23.94,-1.316901306449505,,-1.316901306449505,1,,,0.43415493467752475,0,1,True
23.95,-1.3544244550586593,,-1.3544244550586593,1,,,0.43227877724706704,0,1,True
23.96,-1.6808852137283132,,-1.6808852137283132,1,,,0.4159557393135843,0,1,True
23.97,-0.8482376962826896,,-0.8482376962826896,1,,,0.4575881151858655,0,1,True
23.98,-0.8541058758201836,,-0.8541058758201836,1,,,0.4572947062089908,0,1,True
23.99,-0.2974437449712034,,-0.2974437449712034,1,,,0.4851278127514398,0,1,True
24.0,0.2400038040369857,,0.2400038040369857,1,,,0.5120001902018493,1,0,True
24.01,-0.23064634107879228,,-0.23064634107879228,0,,,0.4884676829460604,0,0,True
24.02,0.0773609146179286,,0.0773609146179286,1,,,0.5038680457308964,1,0,True
24.03,1.2516200253786698,,1.2516200253786698,1,,,0.5625810012689335,1,0,True
24.04,0.8057994535571815,,0.8057994535571815,1,,,0.540289972677859,1,0,True
24.05,1.4139761018932482,,1.4139761018932482,1,,,0.5706988050946624,1,0,True
24.06,1.5848274516621241,,1.5848274516621241,1,,,0.5792413725831062,1,0,True
24.07,2.1555961486748476,,2.1555961486748476,1,,,0.6077798074337424,1,0,True
24.08,2.751677632241695,,2.751677632241695,1,,,0.6375838816120847,1,0,True
24.09,1.964006745439407,,1.964006745439407,1,,,0.5982003372719704,1,0,True
24.1,2.3082670611593024,,2.3082670611593024,1,,,0.6154133530579651,1,0,True
24.11,3.6229507149309006,,3.6229507149309006,1,,,0.6811475357465451,1,0,True
