time_s,ai_v,ai1_v,selected_signal_v,di,di0,di1,potentiometer,proximity,switch,limit_ok
0.8,5.453406798020634,,5.453406798020634,1,,,0.7726703399010317,1,0,False
0.81,4.93674930893645,,4.93674930893645,1,,,0.7468374654468224,1,0,False
0.82,4.928149911894557,,4.928149911894557,1,,,0.7464074955947279,1,0,False
0.83,4.620644492432899,,4.620644492432899,1,,,0.731032224621645,1,0,False
0.84,4.661102955050399,,4.661102955050399,1,,,0.73305514775252,1,0,False
0.85,4.0591897416818,,4.0591897416818,1,,,0.7029594870840901,1,0,False
0.86,3.832214972703764,,3.832214972703764,1,,,0.6916107486351881,1,0,True
0.87,3.4641217775299347,,3.4641217775299347,1,,,0.6732060888764967,1,0,True
0.88,3.05031982510292,,3.05031982510292,1,,,0.652515991255146,1,0,True
0.89,3.647921851340545,,3.647921851340545,1,,,0.6823960925670273,1,0,True
0.9,2.4664978609525483,,2.4664978609525483,1,,,0.6233248930476274,1,0,True
0.91,2.8591132514415127,,2.8591132514415127,1,,,0.6429556625720757,1,0,True
0.92,2.0709779096671554,,2.0709779096671554,1,,,0.6035488954833578,1,0,True
0.93,2.0342905506980333,,2.0342905506980333,1,,,0.6017145275349016,1,0,True
0.94,1.8946851342099422,,1.8946851342099422,1,,,0.5947342567104971,1,0,True
0.95,0.8989693882106445,,0.8989693882106445,1,,,0.5449484694105322,1,0,True
0.96,1.7171928971243187,,1.7171928971243187,1,,,0.5858596448562159,1,0,True
0.97,1.0707145568813619,,1.0707145568813619,1,,,0.553535727844068,1,0,True
0.98,0.1436263642754072,,0.1436263642754072,1,,,0.5071813182137703,1,0,True
0.99,-0.09570015782478186,,-0.09570015782478186,0,,,0.4952149921087609,0,0,True
1.0,0.41887242345551956,,0.41887242345551956,1,,,0.520943621172776,1,1,True
1.01,0.02707929385479735,,0.02707929385479735,1,,,0.5013539646927399,1,1,True
1.02,-0.3028191590781748,,-0.3028191590781748,1,,,0.4848590420460913,0,1,True
1.03,-0.7893182835235081,,-0.7893182835235081,1,,,0.4605340858238246,0,1,True
1.04,-0.9565634474999134,,-0.9565634474999134,1,,,0.4521718276250043,0,1,True
1.05,-1.4471836036225323,,-1.4471836036225323,1,,,0.42764081981887336,0,1,True
1.06,-1.8451318567573345,,-1.8451318567573345,1,,,0.4077434071621333,0,1,True
1.07,-2.3211307403128103,,-2.3211307403128103,1,,,0.3839434629843595,0,1,True
1.08,-2.6307947756846337,,-2.6307947756846337,1,,,0.3684602612157683,0,1,True
1.09,-2.2042844421522574,,-2.2042844421522574,1,,,0.3897857778923871,0,1,True
1.1,-2.6487752181502113,,-2.6487752181502113,1,,,0.36756123909248944,0,1,True
1.11,-2.8849515689829524,,-2.8849515689829524,1,,,0.3557524215508524,0,1,True
1.12,-3.5968076926421992,,-3.5968076926421992,1,,,0.32015961536789,0,1,True
1.13,-3.3607552336719047,,-3.3607552336719047,1,,,0.3319622383164048,0,1,True
1.14,-3.955389079110485,,-3.955389079110485,1,,,0.30223054604447575,0,1,True
1.15,-3.489483182499648,,-3.489483182499648,1,,,0.32552584087501757,0,1,True
1.16,-4.686904727373031,,-4.686904727373031,1,,,0.26565476363134843,0,1,False
1.17,-3.9880427208249936,,-3.9880427208249936,1,,,0.3005978639587503,0,1,True
1.18,-4.830369717304807,,-4.830369717304807,1,,,0.25848151413475967,0,1,False
1.19,-5.264788269710073,,-5.264788269710073,1,,,0.23676058651449633,0,1,False
1.2,-5.7628122547686305,,-5.7628122547686305,1,,,0.21185938726156847,0,1,False
1.21,-5.31148909461465,,-5.31148909461465,1,,,0.23442554526926748,0,1,False
1.22,-5.165938075999603,,-5.165938075999603,1,,,0.24170309620001987,0,1,False
1.23,-6.410991588623997,,-6.410991588623997,1,,,0.17945042056880017,0,1,False
1.24,-5.981149670264726,,-5.981149670264726,1,,,0.2009425164867637,0,1,False
1.25,-6.1600629753967215,,-6.1600629753967215,1,,,0.1919968512301639,0,1,False
1.26,-7.1031125986902195,,-7.1031125986902195,1,,,0.14484437006548903,0,1,False
1.27,-7.210309131517973,,-7.210309131517973,1,,,0.13948454342410135,0,1,False
1.28,-7.309157877086988,,-7.309157877086988,1,,,0.1345421061456506,0,1,False
1.29,-7.122401685224291,,-7.122401685224291,1,,,0.14387991573878547,0,1,False
1.3,-7.830101250133632,,-7.830101250133632,1,,,0.1084949374933184,0,1,False
1.31,-7.947382024271792,,-7.947382024271792,1,,,0.10263089878641041,0,1,False
1.32,-7.2962244590448275,,-7.2962244590448275,1,,,0.1351887770477586,0,1,False
1.33,-7.4915739694000205,,-7.4915739694000205,1,,,0.12542130152999897,0,1,False
1.34,-8.469625603604953,,-8.469625603604953,1,,,0.07651871981975233,0,1,False
1.35,-7.487781849095875,,-7.487781849095875,1,,,0.12561090754520624,0,1,False
1.36,-8.224523735845882,,-8.224523735845882,1,,,0.08877381320770591,0,1,False
1.37,-8.409320827173694,,-8.409320827173694,1,,,0.0795339586413153,0,1,False
1.38,-8.546576812107517,,-8.546576812107517,1,,,0.07267115939462414,0,1,False
1.39,-8.70446112081711,,-8.70446112081711,1,,,0.06477694395914453,0,1,False
1.4,-8.346376112601165,,-8.346376112601165,1,,,0.08268119436994174,0,1,False
1.41,-8.444331269073146,,-8.444331269073146,1,,,0.0777834365463427,0,1,False
1.42,-9.173197966064594,,-9.173197966064594,1,,,0.04134010169677031,0,1,False
1.43,-8.890042779688581,,-8.890042779688581,1,,,0.05549786101557093,0,1,False
1.44,-8.68242096122328,,-8.68242096122328,1,,,0.06587895193883604,0,1,False
1.45,-8.704428591501808,,-8.704428591501808,1,,,0.06477857042490962,0,1,False
1.46,-9.02063158870025,,-9.02063158870025,1,,,0.048968420564987535,0,1,False
1.47,-8.862017210209688,,-8.862017210209688,1,,,0.05689913948951562,0,1,False
