time_s,ai_v,di,potentiometer,proximity,switch,limit_ok
8.2,4.784371821721744,1,0.7392185910860872,1,0,False
8.21,5.00875818406851,1,0.7504379092034255,1,0,False
8.22,5.853358713088415,1,0.7926679356544207,1,0,False
8.23,5.804917271414773,1,0.7902458635707387,1,0,False
8.24,6.422909215934838,1,0.8211454607967419,1,0,False
8.25,5.797547602260276,1,0.7898773801130139,1,0,False
8.26,6.996504200685403,1,0.8498252100342703,1,0,False
8.27,7.03315905193982,1,0.851657952596991,1,0,False
8.28,7.007532521427406,1,0.8503766260713703,1,0,False
8.29,6.90133141724476,1,0.8450665708622381,1,0,False
8.3,7.011527348723582,1,0.8505763674361791,1,0,False
8.31,7.122273501767795,1,0.8561136750883896,1,0,False
8.32,7.733489848559996,1,0.8866744924279999,1,0,False
8.33,7.924476679722376,1,0.8962238339861187,1,0,False
8.34,7.3071768994134425,1,0.8653588449706721,1,0,False
8.35,7.954570799329426,1,0.8977285399664712,1,0,False
8.36,7.658483731959733,1,0.8829241865979867,1,0,False
8.37,8.592413829477572,1,0.9296206914738786,1,0,False
8.38,8.050971422668955,1,0.9025485711334478,1,0,False
8.39,8.712383328284458,1,0.935619166414223,1,0,False
8.4,8.945305413000739,1,0.947265270650037,1,0,False
8.41,8.877824264082427,1,0.9438912132041214,1,0,False
8.42,8.885273406743748,1,0.9442636703371875,1,0,False
8.43,9.270017619555853,1,0.9635008809777925,1,0,False
8.44,8.541876313670171,1,0.9270938156835087,1,0,False
8.45,8.899451533623335,1,0.9449725766811667,1,0,False
8.46,9.206342229185465,1,0.9603171114592733,1,0,False
8.47,9.39672312010241,1,0.9698361560051204,1,0,False
8.48,8.48804448882262,1,0.924402224441131,1,0,False
8.49,9.41129777711776,1,0.970564888855888,1,0,False
8.5,8.57926009178323,1,0.9289630045891615,1,0,False
8.51,9.025841318947782,1,0.9512920659473891,1,0,False
8.52,9.536975463541165,1,0.9768487731770582,1,0,False
8.53,8.727735549248946,1,0.9363867774624474,1,0,False
8.54,8.971497961152552,1,0.9485748980576275,1,0,False
8.55,9.248807583053207,1,0.9624403791526603,1,0,False
8.56,8.875366882082018,1,0.9437683441041009,1,0,False
8.57,8.376097019608782,1,0.9188048509804391,1,0,False
8.58,8.345217087160531,1,0.9172608543580265,1,0,False
8.59,8.507233682785122,1,0.925361684139256,1,0,False
8.6,8.22443122070478,1,0.911221561035239,1,0,False
8.61,8.172674168426067,1,0.9086337084213033,1,0,False
8.62,8.387070304862165,1,0.9193535152431082,1,0,False
8.63,7.976044363445756,1,0.8988022181722878,1,0,False
8.64,7.947963706682732,1,0.8973981853341366,1,0,False
8.65,7.7070286975358115,1,0.8853514348767906,1,0,False
8.66,7.791815044024618,1,0.8895907522012308,1,0,False
8.67,8.070098833656816,1,0.9035049416828407,1,0,False
8.68,7.959865088426201,1,0.8979932544213101,1,0,False
8.69,7.37506226777569,1,0.8687531133887845,1,0,False
8.7,7.03589975160772,1,0.851794987580386,1,0,False
8.71,7.18808837427735,1,0.8594044187138674,1,0,False
8.72,7.272799051411712,1,0.8636399525705857,1,0,False
8.73,7.302092610784509,1,0.8651046305392255,1,0,False
8.74,6.95920544622418,1,0.8479602723112091,1,0,False
8.75,6.486006555377455,1,0.8243003277688727,1,0,False
8.76,6.747262130541865,1,0.8373631065270933,1,0,False
8.77,6.275171367310892,1,0.8137585683655446,1,0,False
8.78,5.292583391211045,1,0.7646291695605523,1,0,False
8.79,5.0734339994234245,1,0.7536716999711712,1,0,False
8.8,5.12323246321063,1,0.7561616231605315,1,0,False
8.81,4.920398201398275,1,0.7460199100699137,1,0,False
8.82,4.779758561056818,1,0.7389879280528409,1,0,False
8.83,4.569474740532247,1,0.7284737370266123,1,0,False
8.84,3.7687576451821623,1,0.6884378822591082,1,0,True
8.85,3.6201163178962035,1,0.6810058158948101,1,0,True
8.86,4.073377179293732,1,0.7036688589646867,1,0,False
8.87,3.2130173055186098,1,0.6606508652759305,1,0,True
8.88,2.7562455940542856,1,0.6378122797027143,1,0,True
8.89,2.5990121892331546,1,0.6299506094616577,1,0,True
8.9,2.802301845350592,1,0.6401150922675296,1,0,True
8.91,2.1675865137351567,1,0.6083793256867578,1,0,True
8.92,1.9940717631702563,1,0.5997035881585128,1,0,True
8.93,1.5361891867412258,1,0.5768094593370613,1,0,True
8.94,1.6929694489044678,1,0.5846484724452233,1,0,True
8.95,1.1555138328414676,1,0.5577756916420734,1,0,True
8.96,1.5954839755258812,1,0.579774198776294,1,0,True
8.97,0.2482316736318222,1,0.5124115836815911,1,0,True
8.98,0.46563602518363745,1,0.5232818012591819,1,0,True
8.99,0.6635395597521293,1,0.5331769779876064,1,0,True
9.0,-0.1525171049592303,1,0.4923741447520385,0,1,True
9.01,-0.6663305195729794,1,0.4666834740213511,0,1,True
